top - 10:20:25 up 23:51,  4 users,  load average: 2.92, 2.78, 2.77
Tasks: 382 total,   5 running, 377 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.5 us, 58.1 sy,  0.0 ni, 28.6 id,  3.8 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   9866.5 total,    109.8 free,   9441.3 used,    596.3 buff/cache     
MiB Swap:  10240.0 total,   4641.1 free,   5598.9 used.    425.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2424 claivea+  20   0 2485772  44552  41316 S   0.0   0.4   9:12.01 kded6
   2493 claivea+  20   0  168344   3288   3284 S   0.0   0.0   0:00.03 at-spi2+
   2535 claivea+  20   0  877488  21292  18748 S   0.0   0.2   0:29.35 kactivi+
   2541 claivea+  20   0 1696808  33856  33848 S   0.0   0.3   0:00.73 polkit-+
   2542 claivea+  20   0  901888  21372  20136 S   0.0   0.2   0:06.15 org_kde+
   2551 claivea+  20   0    8048   1624   1616 S   0.0   0.0   0:00.02 ssh-age+
   2673 claivea+  20   0  163844   2792   2788 S   0.0   0.0   0:00.02 dconf-s+
   2829 claivea+  20   0   47596   2968   2956 S   0.0   0.0   0:00.02 obexd
   2850 claivea+  20   0  232052   4928   4720 S   0.0   0.0   3:50.78 checkse+
   2868 claivea+  20   0 1674608  33568  33560 S   0.0   0.3   0:01.38 kdeconn+
   2887 claivea+  20   0  231924   5016   4848 S   0.0   0.0   0:00.21 autosyn+
   2899 claivea+  20   0  232056   2744   2740 S   0.0   0.0   0:00.02 bash
   2916 claivea+  20   0  232056   1540   1536 S   0.0   0.0   0:00.00 bash
   2918 claivea+  20   0  232056   1540   1536 S   0.0   0.0   0:00.00 bash
   2919 claivea+  20   0  395884  13152  12556 S   0.0   0.1   0:03.20 kunifie+
   2924 claivea+  20   0  230376   1804   1768 S   0.0   0.0   0:03.48 tail
   2925 claivea+  20   0  232056   1540   1536 S   0.0   0.0   0:00.00 bash
   2926 claivea+  20   0  232056   1724   1720 S   0.0   0.0   0:00.00 bash
   2927 claivea+  20   0 1111708 149248 148960 S   0.0   1.5   0:15.69 journal+
   2931 claivea+  20   0  232056   4220   4216 S   0.0   0.0   0:01.42 bash
   2933 claivea+  20   0  230376   1760   1724 S   0.0   0.0   0:03.46 tail
   2936 claivea+  20   0  232056   1724   1720 S   0.0   0.0   0:00.00 bash
   2940 claivea+  20   0  532932   3036   3032 S   0.0   0.0   0:00.02 agent
   3154 root      20   0  716100   3512   3468 S   0.0   0.0   0:28.30 dnf5dae+
   3298 claivea+  20   0  231924   4884   4732 S   0.0   0.0   0:12.93 autobri+
   3397 claivea+  20   0  231924   5004   4840 S   0.0   0.0   0:59.47 backlis+
   3422 claivea+  20   0  232056   4984   4792 S   0.0   0.0   0:27.45 battery+
   3459 claivea+  20   0  232052   4772   4768 S   0.0   0.0   0:00.05 battery+
   3476 root      20   0   21196   4660   4652 S   0.0   0.0   0:00.69 systemd
   3478 claivea+  20   0  231924   2704   2700 S   0.0   0.0   0:00.00 btrfs_b+
   3494 root      20   0   16088   1000    996 S   0.0   0.0   0:00.00 (sd-pam)
   3498 claivea+  20   0  230336   1636   1632 S   0.0   0.0   0:00.00 sleep
   3536 claivea+  20   0  231924   2680   2676 S   0.0   0.0   0:00.00 btrfs_s+
   3548 claivea+  20   0  230336   1624   1620 S   0.0   0.0   0:00.00 sleep
   3565 claivea+  20   0  231924   4716   4712 S   0.0   0.0   0:00.07 fortune+
   3574 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   3598 root      20   0    8884   2728   2720 S   0.0   0.0   0:00.01 dbus-br+
   3611 root      20   0    5028   2376   2372 S   0.0   0.0   0:00.00 dbus-br+
   3652 claivea+  20   0  231924   4824   4656 S   0.0   0.0   0:06.56 keyLock+
